Review,Star,Processed_Review
배송이 빠른 치마가 필요해서 구매했어요 요즘 살이 쪄서 맞는 치마가 없어서 스트레스였는데 s사이즈가 꽉 끼지 않고 쑥 들어가더라고요 오랜만에 치마 입는데 힘들지 않았습니다ㅠㅠ  근데 이게 앉고 치마가 올라가는 일이 반복되면서 가로로 주름이 좀 생기더라고요 근데 검은 색이라 크게 티가 나진 않고 저만 신경쓰이는 정도 입니다. 사진에선 상의가 좀 내려와 있어서 짧아 보일 수 있지만 길이도 무릎 조금 위로 적당하고 기본템으로 검정 치마는 필수잖아요 이거 꼭 사세요!,5.0,배송이 빠른 치마가 필요해서 구매했어요 요즘 살이 쪄서 맞는 치마가 없어서 스트레스였는데 s사이즈가 꽉 끼지 않고 쑥 들어가더라고요 오랜만에 치마 입는데 힘들지 않았습니다 근데 이게 앉고 치마가 올라가는 일이 반복되면서 가로로 주름이 좀 생기더라고요 근데 검은색이라 크게 티가 나진 않고 저만 신경 쓰이는 정도입니다 사진에선 상의가 좀 내려와 있어서 짧아 보일 수 있지만 길이도 무릎 조금 위로 적당하고 기본 템으로 검정 치마는 필수잖아요 이거 꼭 사세요
제가 원했던 기본 흑청치마 그자체입니다. 특별한건 없지만 어디에나 잘 어울리게 입을 수 있을거같아요. 길이도 167cm기준으로 너무 짧지않아서 좋았어요. 기본 흑청치마 구하시는 분들에게 추천합니다!,5.0,제가 원했던 기본 흑청치마 그 자체입니다 특별한 건 없지만 어디에나 잘 어울리게 입을 수 있을 거 같아요 길이도 cm 기준으로 너무 짧지 않아서 좋았어요 기본 흑청치마 구하시는 분들에게 추천합니다
"딱 제가 원하던 색상이였어요. 역시 무신사에서 치마 제일 많이 샀는데, 만족스러워요. 치마 길이도 제 키에 적당하게 짧아서 이뻐요.",5.0,딱 제가 원하던 색상이었어요 역시 무신사에서 치마 제일 많이 샀는데 만족스러워요 치마 길이도 제 키에 적당하게 짧아서 이뻐요
"핏도 예쁘고 사이즈도 잘 맞아요.
배송 빠르고 퀄리티도 가격 대비 너무 좋아요.",5.0,핏도 예쁘고 사이즈도 잘 맞아요 배송 빠르고 퀄리티도 가격 대비 너무 좋아요
"너무 이뻐서 자주 입는 치마에여
색깔이 어떤 옷에 입어도 잘 어울려요",5.0,너무 이뻐서 자주 입는 치마에요 색깔이 어떤 옷에 입어도 잘 어울려요
"후기에 크다그래서 xs로 샀다가 s사이즈로 교환했어요
xs가 크다고 하신분들은 진짜 엄청 마르신분들같아요..
저랑 스펙 비슷한분들은 꼭 s로 사세요
조금 크긴하지만 편하게 입을수있어서 잘입고다닐거같아요",4.0,후기에 크다 그래서 xs로 샀다가 s사이즈로 교환했어요 xs가 크다고 하신 분들은 진짜 엄청 마르신 분들 같아요 저랑 스펙 비슷한 분들은 꼭 s로 사세요 조금 크긴 하지만 편하게 입을 수 있어서 잘 입고 다닐 거 같아요
핏도 괜찮고 색깔도 맘에 듬 고민한다면 바로 사십쇼,5.0,핏도 괜찮고 색깔도 맘에 듦 고민한다면 바로 사십쇼
만족스러운 사이즈와 모양이에요 허리는 쬐금 큰편이긴 한데 널널하게 입을수있어서 오히려 좋아요,5.0,만족스러운 사이즈와 모양이에요 허리는 쪼금 큰 편이긴 한데 널찍하게 입을 수 있어서 오히려 좋아요
기장 적당하고 스판끼 있어서 편하게 입을수 있어요. 데일리템 될 듯! 다른 색상도 사려구요,5.0,기장 적당하고 스판기 있어서 편하게 입을 수 있어요 데일리 템 될 듯 다른 색상도 사려고요
"허리 작은 사이즈 너무 좋아요 :)
이뻐요 길이도 딱 좋고~ 여름 가을까지 쭉 입겠어요~",5.0,허리 작은 사이즈 너무 좋아요 이뻐요 길이도 딱 좋고 여름 가을까지 쭉 입겠어요
무텐다드 긴 청치마도 같은 사이즈로 구매했는데 이거는 그거보다 하리가 좀 작아요 핏 예쁘고 길이도 적당해요,5.0,무텐다드 긴 청치마도 같은 사이즈로 구매했는데 이거는 그거보다 하리가 좀 작아요 핏 예쁘고 길이도 적당해요
잘맞아요 적당히 짧아서 부담스럽지 않게 입을수있음,5.0,잘 맞아요 적당히 짧아서 부담스럽지 않게 입을 수 있음
