Star,Review
5.0,항상 잘 이용하고 있습니다 블레이저는 항상 사고 후회 한 적이 없는거 같아요 검정 블레이저는 진리입니다
5.0,가장 배이직하고 가성비 좋은 아이템으로 이만한게 없어요!!
5.0,"가성비 측면에서 괜찮고, 핏도 좋고, 편하게 입기 좋습니다. "
5.0,사이즈 딱맞아 수선 필요없습니다 팔소매가 딱맞을 줄이야... 맞춤복 같았습니다 여름 예의갖출때 딱입니다 봄 가을까지 괜찮겠네요
5.0,옷이 좀 크네요. 살짝 아쉽긴한데 수선해서 입기에 좋을것 같아요! 좋은가격에 좋은품질의 제품 잘 구매했습니다!!!!
5.0,가성비 좋네요 겨울하고 여름 제외하고 다 입을수 있을 것 같아요.
5.0,잘 맞습니다. 여름 경조사를 위해서 구입했습니다.
5.0,결혼식 갈 일이 생겨서 겸사겸사 샀는데 아주 좋아요. 
5.0,입었을때 더 이쁜 것 같아요 감사합니다 많이 파세요
5.0,이쁩니다 시원하신합니다. 한여름에 입기에는 좀 더워여~
5.0,핏도 좋고 시원한 재질이지만 티나지 않아서 좋습니다.
5.0,예전에 샀던게 사이즈가 커서 새로 구매하였는데 좋네요!!
5.0,살짝 오버핏으로 구매했는데 가격대비 완벽한거 같습니다!
5.0,베이직하게 잘입을꺼같아요 소재도좋고 가격도좋고
5.0,키183몸무게80 2xl 딱입니다 배송 정말 빠르네요
5.0,급하게 정장이 필요해 구매했는데 괜찮네요 배송 빠르고 좋습니다
4.0,"재질이 엄청 고급스럽거나 그렇진 않지만, 충분히 타협하고 입을만한 블레이저라고 생각 듭니다. 역시 가성비킹 무탠다드~ㅎㅎ"
5.0, 근데 왜자꾸 금칙어잇다뜨지나뭐한거업ㄱ는데 아무튼 좋아요
5.0,좋아요 가격도 만족하고 잘 입고 있어요 색상 다 구매햇어요
5.0,여름에 혹은 봄가을에 입기에 좋습니다 다만 어깨보정이 좀 있어요
5.0,한사이즈 크게가니 오버한맛으로 캐쥬얼하게 입기좋음
5.0,오버핏이고 무난해서 어디든 잘 어울려요 배송도 빠르고
5.0,"하루만에 도착, 원단 좋음, 생각보다 품질 좋음, 사이즈 좋음. "
4.0,생각보다 쿨탠다드 느낌은 없습니다 루즈하게 떨어지긴 하나 그렇게 만족스럽진 않네요
5.0,여름에 입기 좋습니다 재질이 시원하고 촉감도 좋네요
5.0,"우선 캐주얼하게 입으면 괜찮지만 제대로 수트로 활용하기엔 힘든 핏이에요..! 그래도 넥라인부터 어깨, 소매까지는 정장의 정석에서 크게 벗어나지 않으니 한 단 정도만 줄이면 활용도가 높아질 것 같네요."
4.0,"편한 옷차림이 필요해서 구매했습니다. 좋은 상품, 잘 받았습니다. 가격만큼의 만족도 입니다."
5.0,가볍고 편안하고 정사이즈에요 편하게입을수 있을거같아요
5.0,핏 적당하고 원단도 탄탄하고 덥지않습니다. 한여름제외 잘입을수 있을것 같습니다.
5.0,시원하고 좋습니다 싼티도 안나고요 비싼 거 살 필요가 없네요
5.0,사이즈가 좀 작게 나온 건가? 보통 라지면 살짝 큰데 이건 엑스라지가 맞네요
5.0,사이즈 뭐로 할까 하다가 m 사이즈 샀는데 잘맞네요
5.0,"사이즈, 핏 다 좋았어요 5만원 완전 가성비 무조건 추천"
5.0,매번 사는데 이유가 합리적입니다. 가격 싸고 품질 좋고 더할 나위 없습니다.
5.0,재질이 가성비가 좋아서 여름이 가기 전에 구매함
5.0,좋아요 이거 입고 면접 합격함 한여름엔 더운데 봄가을에 좋을듯
5.0,홍대 무신사스탠다드에서 입어보고 괜찮ㅇ ㅏ서 주문했슴당 할인받고하니 가격이 넘모 착하더라고요? 엑스라지는 어깨가 너무 딱 맞아서 투엑스라지 구매했더니 살짝 오버핏으로 입기 딱 좋은거 같아요:)
5.0,주문한지 거의 이틀만에 와서 좋았구요 그리고 나서 옷을 받고 착용하면서 하자가 있는 부분이 있어 교환을 신청을 했는데 거의 하루만에 교환해주셔서 시간도 아끼고 너무 좋았습니다 감사합니다 ㅎㅎ
5.0,저한텐 좀작았어요 사시는분들은 한치수 크게사세요
5.0,무신사 픽업으로 주문했는데 편하고 좋네요 가격은 저렴한데 퀄리티는 좋아요 쿨탠다드라 확실히 덜덥고 여름에 정장 필요할때 입기 좋습니다
5.0,여름정장 없어서 구매했는데 전체적으로 좋았으며 가성비로 최고 인것 같아요
5.0,어깨가 살짝 큰 듯 하지만 기장이랑 폼은 딱이네요
5.0,제질도 좋고 실물이 더 이쁜거같아요. 잘입을게요!!!
5.0,출근룩 입니다. 매일 정장을 입어야하는 직업인지라 매번 백만원씩 들이고 테일러샵에서 맞춰입었는데 갑작스럽게 살이 불어버린 바람에 급하게 주문했어요. 여름이라 쿨텐다드로 선택했는데 가지고 있는 정장보다 훨씬 시원하고 사이즈도 잘 맞네요. 쿨텐다드 셋업으로 여러컬러 주문할거에요. 완전 만족!
5.0,일할때 입을 용도로 구매했습니다 소매길이가 조금만 짧았으면 더 좋았을듯 해요 저렴한 가격에 이정도면 만족!
5.0,일할때 입을 용도로 구매했습니다 소매길이가 조금만 짧았으면 더 좋았을듯 하지만 저렴한 가격에 이 정도면 만족!
5.0,사이즈 적당하고 배송도 되게 빨리 와서 잘 입을 수 있었습니다
5.0,정장입은거같고 원단도 얇아서 시원하니 좋네요. 중요한 자리 있을때 입기 좋을 것 같습니다
5.0,그냥 갓탠다드 시원하고 핏 이쁘고 가격 저렴하고 배송마저 빠름 심지어 퀄리티도 좋음..; 진심 갓탠다드 ㄹㅇ
5.0,쿨탠다드 명성답게 일반 블레이저에 비해서 훨씬 가볍고 입기 좋아요 다만 기성품이다보니까 어깨가 약간 남는 건 어쩔 수 없을 거 같아용
5.0,이 가격에 좋은 제품 만들어주셔서 감사해요. 장례식 및 결혼식용으로 사두었어요. 얇은거 할인할때 사야죠
5.0,원단이 가격에 비해 너무 좋아요. 번들거리지 않고 얇아요. 한여름 외에 사계절 입겠네요.
5.0,안내된 예상일보다 늦었지만 다른 부분은 다 만족합니다.
5.0,"한여름에 입을 정도는 아니지만 꽤나 가볍고, 핏도 적당합니다. 딱 새미오버 정도네요."
5.0,기본 블레이저 노멀 노멀한 핏이네요 셋업으로 입기 좋아요 살짝 두께감은 있는데 그래도 시원한 소재인거 같아요 잘입겠습니다 감사합니다
3.0,핏이 애매해요 예쁘지 않은 오버핏 같아서 비추입니다
5.0,합리적으로 할인할때 구입 역시 무탠다드 최고입니다
5.0,릴렉스드핏이지만 어깨 각이 조금 살아있어요 그래서 조금 더 차려입은 느낌이에요
5.0,일요일에 시켰는데 월요일 점심에 오네요 ㄷㄷ 한여름은 힘들겠지만 봄가을에는 더위타시는분들도 충분히 입을만할거같아요 
5.0,실제로 제품 받아보니 사이트에서 봣던 느낌과 같아서 만족스럽습니다!!
5.0,살짝 오버하게 맞네요 ㅋ 키가 작아서 기장이 좀 긴것 같긴함..
5.0,무난하히 딱 기본템 오버핏 블레이저 느낌입니다 좋아요
5.0,역시 쿨탠다드 좀 더운 날시에도 착용이 가능하네요 ㅎ
5.0,여름자켓이 필요했는데. 너무 만족하고 계속해서 입고 있네요^^
5.0,사이즈가 조금 큰감이 있지만 오버핏으로 잘 입습니다 ㅎ
5.0,배송 빠르고 포장은 아쉽네요 담부턴 포장 꼼꼼히 부탁드립니다
