Star,Review
5.0,생각보다 얇고 바스락 거리는 재질이라서 뭘 더 입은 느낌은 안 나고 티셔츠 위에 코디용으로 입으면 좋을 거 같습니당 ㅎㅎ
5.0,세일하길래 여름에 입으려구 샀습니다 감성좋네여 낚시꾼느낌도나고 싸게 잘산거같아여 반팔에 입고다닐려구영
4.0,베스트 입문용으로 사 봣어요 배송 빨라서 좋았습니다
5.0,엄청 얇고 시원해서 휘뚜루마뚜루 여름에 잘입었어요!
4.0,후드 끈이 뒤로 잘 넘어간다는 게 조금 불편하긴 한데 가격대비 그럭저럭 괜찮은 거 같아여 핏도 괜찮아료
4.0,흰티에 편하게 입기 좋아요. 끝까지 잠궈야 젤 예쁜 거 같아요. 
5.0,가볍고 부드러운 제질입니다 후드끈이 엄청길어요 본인만의스타일로 끈정리 하셔야할듯 은근 따뜻합니다 오늘 입고 외출했는데 등에  땀이 고이네요 날씨탓인건지 옷 덕분인지.. 품도 길이도 넉넉합니다 지퍼방향이 반대라  어색하네요 남자옷인가봅니다 오돌토돌 무늬가있습니다
4.0,지퍼가 금방 까지고 잘안잠길때가 있지만 그거빼고 꽤 만족합니다.. 애착조끼되가는중 사이즈도 낭낭.. 처음 받았을땐 작은가 싶었는데 입다보니 스몰하길 잘한듯해요
5.0,조아요 핏 예쁘고 투웨이라 더 좋음 안 좋은 점 없음요
5.0,무신사에서 처음 구입하는 스타일인데 깔끔하게 정갈합니다 만족합니다
4.0,이쁘고 가볍고 얇고 좋아요~ 덕분에 여름 잘 보냈습니다. 몬가 색 빠지는거 같아서 1점은 뺄게요
4.0,사이즈는 살짝 크고 엄청 얇어요 착용감은 편하고 가벼워서 좋네요 근데 사람들이 많이 입어서 살거라면 다시 한번 생각해보고 사는걸 추천합니다
5.0,힙한 느낌을 원하면 바지만 힙하게 입으면 바로 끝 그리고 생각보다 많이 얇아요
5.0,여름에도 입어도 되고 가을도 입어도 될거 같아요 가을에는 흰 슬리브에 레이어드하면 이쁠거 같아요
5.0,제가 그토록 찾던 핏이에요 !! 진짜 이렇게 이쁜 옷 첨 뵈요 최고 !!
5.0,얇아서 너무 좋아요 코디할때는 좀 어렵긴한데 하나쯤 이런옷 있으면 좋을거같아서 샀어요
4.0,생각보다 많이 얇아서 제가 생각한 핏은 안나왔지만 귀여워요! 빳빳한거 원하시는 분한테는 비추에요 되게 얇아요! 저는 무난하게 잘 입고 다녔습니다
4.0,사이즈는 딱 맞아서 좋았고 아쉬웠던 점이 있으면 지퍼 부분이 살짝 부실하다 정도 그래도 다른점들은 다 마음에들고 좋았어요
5.0,"171/50 기준으로 M이 널널하게 좋았어요. 처음에 S 주문했다가 사이즈는 괜찮은데 제 기준 원하는 핏이 안 나와서 재주문했더니 너무 맘에 들어요. 저랑 비슷한 스펙이시면 적당한 핏 원하시면 s, 널널한 핏 원하시면 m으로 주문하시면 될 것 같아요!"
5.0,"라지라서 걱정 좀 했는데 역시 수치 정보는 믿을 만합니다. 덩치 좀 있는데 부담 없이 입을 수 있고, 옷 자체가 예쁘고 위아래 자크 포인트랑 다 마음에 드네요. 엄청 가벼워서 편하기도 합니다. 안에 흰 반팔 흰 긴티 입어서 레이어드 해주며 입으려고요ㅎㅎ 잘 입겠습니다."
5.0,좀 얇지만 스타일 좋고 코디하기 좋아요~~ 무신사에서 같이 구매한 와이드핏 트레이닝바지에 잘어울립니다
5.0,사이즈 딱 생각했던 대로 적당했으며 무난하게 막 입기 좋은 거 같아요!!
5.0,아무때나 휘뚜루마뚜루 입기 좋은 것 같아요. 반팔 위에 입어봤는데 조끼부분만 통풍이 안돼서 열이 갇혀있는게 느껴집니다. 요즘같은 환절기에 가볍게 들고다니면서 쌀쌀할때 입기 좋은 것 같고 무지티만 입기 심심할 때 입으면 좋을 것 같아요 지퍼 퀄리티가 좀 아쉬운데 이 가격대면 달려있는 것만으로 만족합니다
