Star,Review,Processed_Review
1.0,지퍼가 진짜 개불편함 ㅋㅋ 불량이 온 줄 알았는데 리뷰 보니까 그냥 지퍼를 개못만드는 회사 모임에 가입한 곳들 중 하나였음 지퍼 잠글 때마다 개빡침 근데 옷은 예뻐서 매일 입음,지퍼가 진짜 개 불편함 불량이 온 줄 알았는데 리뷰 보니까 그냥 지퍼를 개못 만드는 회사 모임에 가입한 곳들 중 하나였음 지퍼 잠글 때마다 개빡 침 근데 옷은 예뻐서 매일 입음
5.0,소재가 일단 정말 튼튼합니다. 지퍼는 한 번씩 조금 걸리긴 하는데 옷 소재 자체는 정말 좋습니다.,소재가 일단 정말 합니다 지퍼는 한 번씩 조금 걸리긴 하는데 옷 소재 자체는 정말 좋습니다
5.0,내가 찾아 헤매던 후드 집업 . . 그치만 요즘 입기에는 쬮뀸.. 춥댜 . . ☆ 안에 피지컬 입었더니 힘이 세져서 팔은 저절로 올라간 거임 오해 ㄴㄴ,내가 찾아 헤매던 후드 집업 그치만 요즘 입기에는 쬮뀸 춥댜 안에 피지컬 입었더니 힘이 세져서 팔은 저절로 올라간 거임 오해
5.0,너무 예쁘네요~ 저희 강아지도 예쁘다고 난리네요 ㅎ,너무 예쁘네요 저희 강아지도 예쁘다고 난리네요
5.0,처음에 지퍼 불량이어서 교환했는데 엄청 빨리(2일?)만에 교환돼서 만족 핏도 이쁘구 리버서블 되는게 참 맘에 들음 로고에 질린 사람들을 위한 기본템으로 추천,처음에 지퍼 불량이어서 교환했는데 엄청 빨리 일만에 교환돼서 만족 핏도 이쁘구 리버서블 되는 게 참 맘에 들음 로고에 질린 사람들을 위한 기 본템으로 추천
4.0,"아우터용으로 토피를 사고 레이어드용으로 멜란지마스터를 샀는데 확실히 원단같은건 멜란지마스터가 더 두껍고 세련된거같아요 토피는 검정 면티 입고 입었더니 엄청 달라붙어서 다 떼고 입었어요 하지만 핏이랑 입었을때 실루엣은 토피가 훨씬 이쁘네요! 자켓같은거 안에 입을때는 멜란지, 아우터로 입을때는 토피가 좋은거같아요 끗!",아우터용으로 토피를 사고 레이어드용으로 멜란지 마스터를 샀는데 확실히 원단 같은 건 멜란지 마스터가 더 두껍고 세련된 거 같아 요 토피는 검정 면 티 입고 입었더니 엄청 달라붙어서 다 떼고 입었어요 하지만 핏이랑 입었을 때 실루엣은 토피가 훨씬 이 쁘네요 자켓 같은 거 안에 입을 때는 멜란지 아우터로 입을 때는 토피가 좋은 거 같아요 끗
5.0,엄청 널널해서 안에 껴입기도 좋을 것 같아요! 가격에 비해 품질이 좋아요 ㅎㅎ 기모로 사니 적당히 도톰해서 핏이 예뻐요!,엄청 해서 안에 껴 입기도 좋을 것 같아 요 가격에 비해 품질이 좋아요 기모로 사니 적당히 도 톰해서 핏이 예뻐요
5.0,적당한 두께감의 재질이라서 봄가을에 입기에 적당한 옷입니다 ! 재질도 부드러워서 너무 좋아요 !! 디테일들이 너무 예쁜 후드집업입니다 !! 새학기 필수템입니다 !! 색감도 부담스럽지않으면서 포인트가 되는 컬러여서 코디하기도 좋습니다 !! 꾸안꾸룩으로도 코디하기 좋아요!! 지퍼가 조금 잘안올라가지만…! 잘 입겠습니다 !😆,적당한 두께감의 재질이라서 봄 가을에 입기에 적당한 옷입니다 재질도 부드러워서 너무 좋아요 디테일들이 너무 예쁜 후드 집업입니다 새 학기 필수 템입니다 색감도 부담스럽지 않으면서 포인트가 되는 컬러여서 코디하기도 좋습니다 꾸안 꾸룩으로도 코디하기 좋아요 지퍼가 조금 잘 안 올라가지만 잘 입겠습니다
4.0,자크가 좀 많이 빡빡해서 안올라가요 핏은 예쁩니다,자크가 좀 많이 해서 안 올라가요 핏은 예쁩니다
5.0,투웨이라 코디 하기 편하고 모자도 커서 예쁜 거 같아요,투웨이라 코디 하기 편하고 모자도 커서 예쁜 거 같아요
5.0,생각했던 사이즈 그대로 입니다. 자크가 잘 안올라가긴하지만,생각했던 사이즈 그대로 입니다 자크가 잘 안 올라가긴 하지만
5.0,여태껏 제가 입은 후드집업중에 가장 마음에 들어요! 길이도 너무 안길고 딱 오버핏으로 적당해요 후기에서 생각보다 작다는 내용 많아서 걱정했는데 m도 충분히 오버핏으로 입을 수 있어요!,여태껏 제가 입은 후드 집업 중에 가장 마음에 들어 요 길이도 너무 안길 고 딱 오버핏으로 적당해요 후기에서 생각보다 작다는 내용 많아서 걱정했는데 도 충분히 오버핏으로 입을 수 있어요
5.0,사이즈 적당하고 좋아요 후드도 깔끔하고 예뻐요,사이즈 적당하고 좋아요 후드도 깔끔하고 예뻐요
5.0,후기에서 다들 짧다해서 더 짧은 기장을 생각했는데 생가보다 별루 안짧아요 팔부분 핏이 너무이쁘고 지금 산지 꽤 지나서 많이 입었는데 손목 시보리가 하나도 안늘어나네요 빨면 보풀은 조금 일어나요 어쨋든 넘 이쁨,후기에서 다들 짧다 해서 더 짧은 기장을 생각했는데 생가보다 별 루 안 짧아요 팔 부분 핏이 너무 이쁘고 지금 산지 꽤 지나서 많이 입었는데 손목 시보리가 하나도 안 늘어나네요 빨면 보풀은 조금 일어나요 어 쨋든 넘 이쁨
5.0,심플해서 어느 코디에나 활용하기 좋을 것 같아요:-),심플해서 어느 코디에나 활용하기 좋을 것 같아요
