Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
어깨가 넓어서 고민이 다 하시 눈 분들 이거는 뭐 몸집 차이 일 수 있는데 저는 너무 넓고 부해 보여서 쪼끔 그랬어요 색은 쨍한 흰색이 아니라 조금 아이보리 진짜 쬐끔 노란끼가 돌았어요 디자인은 너무 이 쁘고 힙하고 맘에 들어요, 몸집,"넓다, 노랗다, 디자인, 몸집, 색, 아이보리, 쪼끔, 차이, 흰색","고민, 끼, 넓다, 노랗다, 노랗다끼, 돌다, 디자인, 몸집, 보, 부, 부다, 분들, 색, 아니다, 아이보리, 어깨, 쨍, 쪼끔, 쬐다, 차이, 흰색, 힙하고"
티 너무너무 예뻐요 청바지에 찰떡 옷은 너무 마음에 듭니다 다 만 포장재가 갠적으로 아쉬웠어요 비닐도 아니고 종이도 아니라서 그 큰 포장재를 일반쓰래기로 버려야 한다는 점이 약간 붐따 하지만 옷이 예뻐서 만족합니다,,"비닐, 쓰래, 아니다, 종이, 청바지, 포장재","듭니, 따다, 만족하다, 버리다, 비닐, 쓰래, 아니다, 아쉽다, 일반쓰래, 종이, 찰떡, 청바지, 티, 포장재, 한다는"
세탁 조금만 하면 원단 자체가 힘이 없어지고 주름이 많이 지는 건 매우 아쉽네요 싼 가격은 아닌데요," 가격,  주름","가격, 세탁, 아니다, 아쉽다, 원단, 자체, 주름, 지다","가격, 많이, 세탁, 싸다, 아니다, 아쉽다, 없어지다, 원단, 자체, 주름, 지다, 힘"
재질은 엄청 얇고 잘 늘어나는 재질은 아닌 거 같아 요 얇아서 시 원합니다 옷도 이 쁘고 커플티로 입으려고 샀는데 바로 헤어졌습니다 옷은 죄가 없으니 이 쁘게 잘 입고 다닐 거 같습니다, 재질,"아니다, 얇다, 원하다, 재질, 커플티, 헤어지다","늘어나다, 시원하다, 아니다, 얇다, 없다, 원하다, 재질, 죄, 커플티, 헤어지다"
재질은 엄청 얇고 잘 늘어나는 재질은 아닌 거 같아 요 얇아서 시 원합니다 옷도 이 뻐서 커플티로 입으려고 샀는데 바로 헤어졌습니다 옷은 죄가 없으니 이 쁘게 잘 입고 다닐 거 같습니다, 재질,"아니다, 얇다, 원하다, 재질, 커플티, 헤어지다","늘어나다, 시원하다, 아니다, 얇다, 없다, 원하다, 재질, 커플티, 헤어지다"
사이즈가 생각보다 커서 스타일 보고 사이즈 구매하세용 옷은 전체적으로 이 쁘네요 가운데 페인팅이 과하지 않고 적당해서 좋아요 시원한 느낌 드네요,,"쁘네, 사이즈, 스타일, 시원하다, 적당하다, 전체, 커서, 페인팅","가운데, 보고, 쁘네, 사이즈, 스타일, 시원하다, 적당하다, 전체, 커서, 페인팅"
사이즈가 크게 나와서 기존 라지가 아닌 으로 구매했어요 이 뻐요, 크게,"기존, 나오다, 라지, 사이즈, 아니다, 크게","m, 기존, 나오다, 라지, 사이즈, 아니다, 크게"
배송도 깔끔하고 디자인도 전체적으로 예쁩니다, 디자인,"깔끔하다, 디자인, 배송, 전체","깔끔하다, 디자인, 배송, 전체"
너무 이 뻐요 바지를 빡시하게 입으면 너무 이쁜 거 같아 요 저는 메종 미네드 청바지랑 입었는데 너무 잘 어울리네요,,"메종, 미네, 바지, 어울리다, 청바지","드, 메종, 메종미네드, 미네, 미네 드, 바지, 빡시다, 어울리다, 청바지"
얇고 레터링이 이 뻐서 좋아요 파란색 검은색 조합이라 좋아하는 색상입니 당 목 안 늘어지게 잘 입어야 겠어요," 파란색,  늘어지다,  얇다","검은색, 겠다, 늘어지다, 레터, 색상, 얇다, 조합, 좋아하다, 파란색","검은색, 겠다, 늘어지다, 레터, 레터 링, 레터링, 링, 목, 색상, 얇다, 조합, 좋아하다, 파란색"
