Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
세일하길래 생각 없이 구매했는데 생각보다 핏이 너무 좋고 색감도 이 뻐서 놀랐어요 아무 데나 입어도 잘 어울려서 좋습니다 활용도 높은 새깅하기 좋은 바지,,"바지, 색감, 세일, 어울리다","깅, 높다, 바지, 사이즈, 색감, 세, 세일, 어울리다, 정사이즈, 활용"
허리가 조금 크긴 한데 핏이 무릎 살짝 걸치게 입으면 되게 이 쁘고 왼쪽 허벅지 쪽에 띠가 꼬아져 있는 게 포인트로 이 뻐요,,"걸치다, 크다, 포인트, 허리, 허벅지","걸치다, 꼬아져, 되게, 띠, 무릎, 버뮤다핏, 사진, 색감, 왼쪽, 쪽, 크다, 팬츠, 포인트, 허리, 허벅지"
색감이 생각보다 진하긴 하지만 기장이나 핏이 좋아서 여러 매치가 가능합니다,,"가능하다, 기장, 매치, 색감, 여러, 진하다, 핏","가능하다, 기장, 만족, 매치, 색감, 여러, 이나, 진하다, 핏"
청반바지 입문용으로 너무나 좋습니다 이번 여름에 요긴하게 입을 거 같네요,,"너무나, 반바지, 여름, 요긴, 입문","기장, 너무나, 반바지, 여름, 요긴, 워싱, 입문, 청, 청 반바지, 허리"
예쁨니다 친구가 초딩 같다 했지만 힙스터인 저는 남들 시선에 굴하지 않고 잘 입고 있습니다 사이즈는 딱입니다 허리가 살짝 쨍기 긴 하는데 괜찮습니다 입 기 전날 저녁을 굶거나 입 기전 배를 비워주면 딱 들어갑니다 상의는 오버핏을 입으면 너무 부해 보이고 딱 맞는 거나 정 사이즈 입으면 이 쁠 것 같습니다,,"굶다, 사이즈, 저녁, 힙스터","굴, 굶다, 기전, 남, 들어가다, 바지, 부다, 비우다, 사이즈, 상의, 시선, 저녁, 전날, 정사이즈, 쨍기, 초딩, 친구, 허리, 힙스터"
바지 사이즈는 생각보가 큰 편이여서 벨트가 필수입니다 하지만 바지가 보시다 싶이 너무 예뻐서 핏도 딱 마음에 들고 평소 오버사이즈 상의 많이 입으신다면 같이 코디하시는 걸 추천합니다,,"바지, 보가, 보시, 사이즈, 신다, 코디, 편이, 필수","바지, 버뮤다핏, 벨트, 보가, 보시, 사이즈, 사진, 상의, 색감, 신다, 오버, 오버 사이즈, 추천, 코디, 팬츠, 편이, 필수"
먼저 사이즈 허리 사이즈에 맞춰서 구매했는데 한 치수 크게 사도 될 뻔 했습니다 조금 아쉽지만 디자인이 너무 이 뻐서 만족합니다 이쁘게 잘 입을 게요,,"디자인, 만족하다, 맞추다, 먼저, 사도, 사이즈, 아쉽다, 허리","디자인, 만족, 만족하다, 맞추다, 먼저, 사도, 사이즈, 아쉽다, 치수, 크게, 허리"
싸이즈는 했는데 딱 맞아요 착용감은 편하네요 모델의 느낌은 한 치수 크게 주문하면 좋을 것 같네요,,"맞다, 모델, 주문, 착용, 치수, 크게, 편하다","감다, 기장, 맞다, 모델, 싸다 이즈, 싸이즈, 워싱, 주문, 착용, 착용 감다, 치수, 크게, 편하다, 허리"
통이 커서 엄청 시원하고 흰색 셔츠랑 입으면 찰떡임,,"셔츠, 시원하다, 찰떡, 커서, 통, 흰색","더럽다, 배송, 비, 비지떡, 셔츠, 시원하다, 싸다, 오래, 젖다, 찰떡, 커서, 통, 흰색"
반바지가 없고 또 요즘은 짧은 반바지가 많다 보니 체형에 맞는 게 잘 없더라구 요 원래는 정도 입는데 하게 으로 사봤습니다 골반 맞추다 보니 허리는 옷핀이랑 허리띠로 줄여서 다른 분들이랑 핏이 다를 수 있어요 저렇게 조절해서 길이는 무릎을 덮을 랑 말랑 합니다 허벅지랑 다 하구요 무더위 여름에 입기엔 살짝 두꺼운 감은 있어요,,"길이, 반바지, 조절, 허리, 허리띠, 허벅지","골반, 귀엽다, 금데, 길이, 다르다, 덮다, 맞추다, 무더위, 무릎, 반바지, 분, 사보다, 색감, 수선하다, 여름, 옷핀, 저렇게, 조절, 줄, 짧다, 짱크다, 체형, 허리, 허리띠, 허벅지"
데님 버뮤다 팬츠는 처음 입어보는데 귀엽고 이 뻐요 젤 작은 사이즈 한 건데도 허리가 넘 커서 벨트로 확조였더니 핏이 이 쁘게 안 떨어지는 게 아쉽 더 작은 사이즈도 만들어 주세여,,"건데, 귀엽다, 데님, 사이즈, 입어보다, 조이다, 커서, 허리","건데, 귀엽다, 데님, 디자인, 떨어지다, 만들다, 버뮤다, 벨트, 사이즈, 색깔, 입어보다, 작다, 조이다, 줄다, 처음, 커서, 팬츠, 핏, 허리, 확"
