Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
가격 대비 너무 좋네요 부들부들 질감도 너무 좋아요 이너티로도 단품으로도 손색 없네요, 질감,"가격, 대비, 부들부들, 손색, 으로도, 이너티, 질감, 품","가격, 단, 대비, 부들부들, 손색, 없다, 으로도, 이너티, 질감, 티, 품"
원래 라지입는데 기장 때문에 스몰 사이즈 선택했는데 길이 감도 적당하고 핏도 적당하네요 평소에 무난하게 입기 좋을 것 같습니다,,"기장, 길이, 때문, 라지, 사이즈, 선택, 원래, 적당하다, 평소, 핏","기장, 길이, 길이감, 때문, 라지, 사이즈, 선택, 스몰, 원래, 적당하다, 평소, 핏"
옷 사기 애매한 키 몸무게 인 한 초등 학년 아들 옷으로 샀습니다 아직은 골격이 크지 않아서 랑 를 고민했는데 가 목이 하다는 후기를 보고 여유롭게 샀습니다 조금 여유로워서 편하고 옷도 면인데 얇아서 여름에 입 기 너무 좋은 거 같습니다,,"골격, 목, 몸무게, 초등, 학년","S, XS, 골격, 목, 몸무게, 사기, 아들, 아직, 애매하다, 얇다, 여름, 여유, 여유롭다, 초등, 크다, 통통, 학년, 후기"
원단이 부드럽습니다 후기 보고 평소보다 한 사이즈 낮췄는데 원하는 루즈핏이 나왔네요 정 사이즈 시켰으면 매우 박시했을 듯, 박다,"나오다, 루즈핏, 박다, 보고, 부드럽다, 사이즈, 원단, 원하다, 평소, 후기","나오다, 낮추다, 루즈핏, 박다, 보고, 부드럽다, 사이즈, 원단, 원하다, 평소, 후기"
사이즈 딱 맞고 좋습니다 재질도 다른 티에 비해 부드러워요, 재질,"맞다, 부드럽다, 비다, 사이즈, 재질, 티","맞다, 부드럽다, 비다, 사이즈, 재질, 티"
예전에 구매했던 기록대로 사이즈를 주문했는데 어깨 선재질이 달라졌더라고요 재질이 변경 됫나요,,"기록, 달라지다, 대로, 됫나, 변경, 사이즈, 어깨, 예전, 재질, 주문","기록, 달라지다, 대로, 됫나, 변경, 사이즈, 선, 선 재질, 어깨, 어깨선재질, 예전, 재질, 주문"
다른 티셔츠에 비해서 목이 두꺼워요 제 몸에 사이즈 잘 맞았습니다 으로 샀어도 괜찮았을 거 같아요,,"두껍다, 맞다, 목, 몸, 비, 사이즈, 티셔츠","m, s, 두껍다, 맞다, 목, 몸, 비, 사이즈, 티셔츠"
땀 많이 흘리는 편인데 쿨 소재라 빠르게 말라서 좋아요, 빠르다,"라서, 빠르다, 소재, 흘리다","땀, 라서, 많이, 말, 빠르다, 소재, 인데, 쿨소재, 편, 흘리다"
작년에 사고 올해 다시 사서 입어요 교복입니다 시원해요,,"교복, 다시, 사고, 사서, 시원하다, 올해, 작년","교복, 다시, 사고, 사서, 시원, 시원하다, 올해, 작년"
쿨코튼이라고 해서 구매했는데 그건 잘 모르겠고 옷감은 괜찮은 것 같아 요 흰색 검정색이라 무난하게 입을 수 있어요, 옷감,"검정색, 모르다, 옷감, 이라고, 코튼, 흰색","검정색, 그건, 모르다, 옷감, 이라고, 코튼, 쿨, 쿨 코튼, 쿨코튼, 흰색"
원래 사이즈보다 하나 아래 사셔야 될 거 같아 요 크게 나왔네요,,"나오다, 사이즈, 아래, 원래, 크게, 하나","나오다, 사이즈, 아래, 원래, 크게, 크게나오다, 하나"
에 이런 핏이에 요 로고가 조금 창피한 듯도 한데 대체로 만족해요,,"대체로, 로고, 만족하다, 이렇다, 창피하다, 핏이","대체로, 로고, 만족, 만족하다, 이렇다, 창피하다, 핏, 핏이"
초반에 주문했다가 작은 거 같아 로 교환했어요 사이즈 딱 맞고 좋아요,,"교환, 맞다, 사이즈, 작다, 주문, 초반","L, M, 교환, 맞다, 사이즈, 작다, 주문, 초반"
평범 하구 조아 요 비치지도 않고 딱 적당한 두께에요,,"두께, 비치다, 적당하다","두께, 비치, 비치다, 에요, 적당하다, 적당하다두께, 조아"
좋아요 남친이랑 같이 입으려고 큰 사이즈 샀는데 예뻐요,"남친,  사이즈","남친, 사이즈","남친, 사이즈, 크다"
기본 티로 입으려고 샀어요 아주 적당히 막 입고 다닐 수 있는 기본티에 요 재질도 괜찮고 너무 두껍지 않아서 시원하게 입을 수 있을 것 같아요, 시원하다,"기본, 두껍다, 시원하다, 재질, 적당하다, 티","기본, 기본티, 두껍다, 시원하다, 재질, 적당하다, 티"
기본 티로 입으려고 샀어요 살짝 얇은 데 너무 얇아서 흐물거리지는 않아 요 여름에 시원하게 잘 입을 것 같아 요 기본으로 입기에 딱 적당하고 길이도 적당하니 좋네요," 여름,  길이,  기본","기본, 길이, 시원하다, 얇다, 여름, 적당하다","기본, 길이, 시원하다, 얇다, 여름, 자다, 적당하다, 지는, 티, 흐물거리, 흐물거리지는"
배송도 빠르고 촉감도 좋아요 가격도 적당해서 무난했습니다, 배송,"가격, 배송, 빠르다, 적당하다, 촉감","가격, 배송, 빠르다, 적당하다, 촉감"
커버낫 기본템 좋네요 다른 브랜드 기본템은 너무 얇거나 아니면 목 마감이 안 좋아서 금방 늘어나던데 요건 많이 입을 수 있을 것 같아요," 브랜드,  기본","금방, 기본, 늘어나다, 마감, 브랜드, 아니다, 커버","금방, 기본, 낫, 늘어나다, 마감, 목마, 브랜드, 아니다, 얇다, 요건, 커버, 커버낫"
커버낫 기본템 좋네요 다른 브랜드 기본템은 너무 얇거나 아니면 목 마감이 안 좋아서 금방 늘어나던데 요건 많이 입을 수 있을 것 같아 요 가볍고 편해서 아주 맘에 들어요, 가볍다,"가볍다, 기본, 늘어나다, 브랜드, 아니다, 편하다","가볍다, 금방, 기본, 늘어나다, 마감, 목마, 브랜드, 아니다, 얇다, 요건, 커버, 커버낫, 편하다"
몇 년째 잘 입고 있는 커버낫 쿨코튼 반팔티 이 거만한 반팔은 아직 못 찾았네요 소재가 너무 좋아서 혈육도 한 세트 사줬습니당,,"거만하다, 니당다, 사주다, 세트, 소재, 찾다, 커버, 코튼, 티, 팔, 혈육","거만하다, 낫, 니당다, 사주다, 세트, 소재, 아직, 찾다, 커버, 커버 낫, 커버낫, 코튼, 쿨, 쿨 코튼, 쿨코튼, 티, 팔, 팔티, 혈육"
몇 년째 잘 입고 있는 커버낫 쿨코튼 반팔티 이 거만한 반팔은 아직 못 찾았네요 사이즈 박시한 걸로 재구매했슴당, 사이즈,"거만하다, 사이즈, 찾다, 커버, 코튼, 티, 팔","거만하다, 걸, 낫, 당, 박, 박 시한, 박다걸, 사이즈, 슴, 시한, 아직, 재다, 찾다, 커버, 커버 낫, 커버낫, 코튼, 쿨, 쿨 코튼, 쿨코튼, 티, 팔, 팔티"
입니다 사이즈 편안하게 잘 맞아요,,"맞다, 사이즈, 편안하다","184cm, 86kg, XXL, 맞다, 사이즈, 자다, 편안하다"
