Review,Processed_Review,common_keywords_all,common_keywords_3_plus
아우터 애매할 때 툭툭 입고다니기 좋아요! 날씨 좀 썰렁하다 싶으면 레이어드 하기에도 좋고!! 만간 블랙 하나 더 살 예정입니다 @v@,아우터 애매할 때 툭툭 입고 다니기 좋아요 날씨 좀 썰렁하다 싶으면 레이어드하기에도 좋고 만간 블랙 하나 더 살 예정입니다 v, 아우터,"날씨, 레이어드, 블랙, 썰렁하다, 아우터, 애매하다, 예정, 툭툭, 하나"
생각보다 되게 핏이 잘나오는거같아요 요즘 날씨에 걸치기 좋아요,생각보다 되게 핏이 잘 나오는 거 같아요 요즘 날씨에 걸치기 좋아요, 나오다,"걸치다, 나오다, 날씨, 핏"
레이어드 하려고 샀는데 그냥 입어도 정말 예쁘고 핏이 딱 떨어지고 굳굳,레이어드하려고 샀는데 그냥 입어도 정말 예쁘고 핏이 딱 떨어지고 굳굳, 떨어지다,"그냥, 떨어지다, 레이어드, 핏"
핏이랑 다 좋은데 좀 무거운 편이고… 무엇보다 지퍼가 최악중의 최악이예요! 잘 안 올라갑니다… 백번하면 한 번 돼요 ㅎㅎ,핏이랑 다 좋은데 좀 무거운 편이고 무엇보다 지퍼가 최악 중의 최악이에요 잘 안 올라갑니다 백 번 하면 한 번 돼요," 올라가다,  지퍼","무겁다, 올라가다, 지퍼, 최악, 편이, 핏"
170/65 생각했던 핏이라서 맘에 들었고 지금 날씨에 입기 좋은 후드집업 입니다,생각했던 핏이라서 맘에 들었고 지금 날씨에 입기 좋은 후드집업입니다,,"날씨, 집업, 핏"
지금 날씨에 입기에 아주 적당합니다 오버핏이라 아주 맘에 들어요,지금 날씨에 입기에 아주 적당합니다 온 버핏이라 아주 맘에 들어요,,"날씨, 버핏, 적당하다"
매일 입을 용도로 샀는데 편하고 무난하고 좋아요,매일 입을 용도로 샀는데 편하고 무난하고 좋아요, 매일,"매일, 무난, 용도, 편하다"
요즘 입기 딱좋아요 휘뚜루마뚜루  잘입고 다니고  있네요,요즘 입기 딱 좋아요 휘뚜루마뚜루 잘 입고 다니고 있네요,,휘뚜루마뚜루
재질과 적절한 오버핏.. 아주 만족합니다 지퍼가 조금 저가형인 느낌이 있지만 어차피 지퍼는 채울 때만 느끼니까 옷 자체는 정말 괜찮습니다 코디는 뭐 요정도,재질과 적절한 오버핏 아주 만족합니다 지퍼가 조금 저가형인 느낌이 있지만 어차피 지퍼는 채울 때만 느끼니까 옷 자체는 정말 괜찮습니다 코디는 뭐 요 정도,,"느끼다, 만족하다, 어차피, 오버핏, 자체, 재질, 적절하다, 지퍼, 코디"
집 근처 마실나가는용으로 자주 걸쳐 입었어요. 적당한 오버핏에 길이도 너무 길지않고 기모 은근 따뜻해요,집 근처 마실 나가는 용으로 자주 걸쳐 입었어요 적당한 온 버핏에 길이도 너무 길지 않고 기모 은근 따뜻해요," 말다,  길이","걸치다, 근처, 기모, 길다, 길이, 말다, 버핏, 은근, 적당하다"
옷이 예쁘게 나왔어요! 아무때나 입기 편하고 좋아요!,옷이 예쁘게 나왔어요 아무 때나 입기 편하고 좋아요,,"나오다, 편하다"
핏감도 너무 좋고 재질도 너무 좋아요 잘 입을게요 ㅎㅎ,핏 감도 너무 좋고 재질도 너무 좋아요 잘 입을게요,,"감다, 재질"
옷 너무 이뻐요 닳아 없어질때까지 야무지게 입을게요,옷 너무 이뻐요 닳아 없어질 때까지 야무지게 입을게요, 닳다,"닳다, 야무지다, 없어지다"
"조금커요! 저랑비슷한 키, 몸무게이신분들은 S사는걸 추천드려요!!",조금 커요 저랑 비슷한 키 몸무게이신 분들은 S사는 걸 추천드려요, 크다,"드리다, 몸무게, 분, 살다, 이신, 크다"
색깔도 괜찮고 잘 입고 있습니다 다만 아직까지 흰티에 저거만 입기엔 추워요,색깔도 괜찮고 잘 입고 있습니다 다만 아직까지 흰 티에 저거만 입기엔 추워요, 색깔,"거만, 색깔, 아직, 춥다, 티, 희다"
무난하게 레이어드해서 입기 좋아요 많이 입을듯,무난하게 레이어드해서 입기 좋아요 많이 입을 듯,,"레이어드, 무난"
