Review,Processed_Review,common_keywords_all,common_keywords_3_plus
허리가 생각보다 조금 크지만 벨트 착용하면 문제 없습니다. 한여름에도 입을 수 있을 만한 두께로 가볍고 좋습니다. 생각했던 핏 그래도 예쁩니다~,허리가 생각보다 조금 크지만 벨트 착용하면 문제없습니다 한여름에도 입을 수 있을 만한 두께로 가볍고 좋습니다 생각했던 핏 그래도 예쁩니다,,"가볍다, 두께, 크다, 한여름, 허리"
너무 워싱도 이쁘거 만족해유 매일입어요 최애바지,너무 워싱도 이쁘고 만족해 유 매일 입어요 최애 바지,,"만족하다, 매일, 바지, 워싱, 최애"
바지 진짜 이뻐요 디자인은 말할 것도 없고 이 바지 색별로 다 사고 싶을 정도 진짜 이쁘고 청바지 입문용으로도 좋을 것 같아요!,바지 진짜 이뻐요 디자인은 말할 것도 없고 이 바지 색별로 다 사고 싶을 정도 진짜 이쁘고 청바지 입문용으로도 좋을 것 같아요,,"디자인, 바지, 별로, 사고, 으로도, 입문, 청바지"
여기 청바지 맛집😍😍 옷 핏부터 기장까지 완벽해요 다들 꼭 사세요 여름에 입기엔 조금 더워용,여기 청바지 맛집 옷 핏부터 기장까지 완벽해요 다들 꼭 사세요 여름에 입기엔 조금 더워요,,"기장, 덥다, 여름, 완벽하다, 청바지, 핏"
이 옷을 입으면 힙해지는거 같아요 사이즈도 적당하고 길이는 조금 깁니다,이 옷을 입으면 합해지는 거 같아요 사이즈도 적당하고 길이는 조금 깁니다, 길이,"길이, 사이즈, 적당하다"
바지가 와이드 핏이라서 보기에도 예쁘고 입었을 때도 편해서 좋아요,바지가 와이드 핏이라서 보기에도 예쁘고 입었을 때도 편해서 좋아요,,"바지, 보기, 와이드, 편하다, 핏"
바지에 스티치가 있어서 더 포인트가 되는 거 같아요,바지에 스티치가 있어서 더 포인트가 되는 거 같아요,,"바지, 스티치, 포인트"
길이는 1~2cm만 길었으면 좋을것 같은데 허벅지가 생각보다 많이 넓어요,길이는 cm만 길었으면 좋을 것 같은데 허벅지가 생각보다 많이 넓어요,,"길다, 길이, 넓다, 허벅지"
사이즈 적당하고 여름용 샀는데 얇아서 시원해요,사이즈 적당하고 여름용 샀는데 얇아서 시원해요, 여름,"사이즈, 시원하다, 얇다, 여름, 적당하다"
"제가 너무 말라서 그런지 허리가 살짣 커요 더 작은 사이즈가 있었으면 좋겠다는 생각이 들어요
그래도 스타일이 너무 예뻐서 벨트를 하고 입고 다녀요",제가 너무 말라서 그런지 허리가 살짣 커요 더 작은 사이즈가 있었으면 좋겠다는 생각이 들어요 그래도 스타일이 너무 예뻐서 벨트를 하고 입고 다녀요, 허리,"그렇다, 벨트, 사이즈, 스타일, 크다, 허리"
편하고 어떤 옷이든 잘 어울려서 활용도가 좋아요.,편하고 어떤 옷이든 잘 어울려서 활용도가 좋아요,,"어떻다, 어울리다, 편하다"
"평소 허리 치수 40-41 정도를 구매하는데요
m이랑 l 허리 차이가 좀 나서 고민하다가 l로 구매햇는데
넉넉하니 좋긴해요 벨트해도 핏 ㄱㅊ
근데 여름 m으로 재구매하려고요",평소 허리 치수 정도를 구매하는데요 m이랑 l 허리 차이가 좀 나서 고민하다가 l로 구매했는데 넉넉하니 좋긴 해요 벨트 해도 핏 근데 여름 m으로 재구매하려고요,,"고민, 나서다, 넉넉하다, 벨트, 재다, 해도, 허리"
너무나 좋아하는 스타일에 색감도 맘에 들었고 길이랑 허리랑 통이며 저한테 딱이예요. 한여름에는 조금 더울거같지만 그리 많이 두껍지는 않아요. 좀 무겁긴해요.,너무나 좋아하는 스타일에 색감도 맘에 들었고 길이랑 허리랑 통이며 저한테 딱이에요 한여름에는 조금 더울 거 같지만 그리 많이 두껍지는 않아요 좀 무겁긴 해요,,"덥다, 두껍다, 무겁다, 스타일, 에는, 좋아하다, 한여름, 허리"
