Review,Processed_Review,common_keywords_all,common_keywords_3_plus
출시 때 품절이었다가 이번에 구매했어요 목부분이 아주 쫀쫀하고 이너로도 그냥 입어도 프린팅이 멋져서 좋아요,출시 때 품절이었다가 이번에 구매했어요 목부분이 아주 쫀쫀하고 이너로도 그냥 입어도 프린팅이 멋져서 좋아요,,"그냥, 멋지다, 부분, 쫀쫀, 출시, 품절, 프린팅"
기장이 조금만 짧았으면 좋겠어요 그외에는 괜춘합니다,기장이 조금만 짧았으면 좋겠어요 그 외에는 괜찮합니다,,"기장, 에는, 외, 짧다"
메종미네드 티셔츠는 프린팅이 너무 매력적인거같아요!! 종류별로 하나씩 구매중입니다ㅎㅎ 사이즈는 오버사이즈이고 원단이나 핏이 너무 예쁘네요,메종미네드 티셔츠는 프린팅이 너무 매력적인 거 같아요 종류별로 하나씩 구매 중입니다 사이즈는 오버사이즈이고 원단이나 핏이 너무 예쁘네요,,"매력, 메종, 별로, 사이즈, 오버, 원단, 이고, 티셔츠, 프린팅, 핏, 하나"
아조 이뻐요 너무 얇지도 않고 더울만큼 두껍지도 않아요,아조 이뻐요 너무 얇지도 않고 더울 만큼 두껍지도 않아요, 두껍다,"덥다, 두껍다, 얇다"
여름에 시원하게 입기 좋고 프린트 색감도 맘에 듭니다,여름에 시원하게 입기 좋고 프린트 색감도 맘에 듭니다, 색감,"색감, 시원하다, 여름, 프린트"
블프로 싸게 구매했습니다! 청바지에도 잘어울리고 버뮤다 팬프에도 너무나~ 잘 어울립니다. 두께는 보통입니다. 체형 보완해줄 수 있는 정도입니다. 메종미네드 반팔 처음 사보는데 완전 귯입니다. 따봉 따따봉,빌 프로 싸게 구매했습니다 청바지에도 잘 어울리고 버뮤다 팬츠에도 너무나 잘 어울립니다 두께는 보통입니다 체형 보완해 줄 수 있는 정도입니다 메종미네드 반팔 처음 사보는데 완전 귯입니다 따봉 따다 봉,,"두께, 보완, 보통, 봉, 사보다, 싸다, 어울리다, 청바지, 체형, 팔"
"기다린 보람이 있는 녀석,,, 내 마음을 저격 성공,,, 넘옙흐네여",기다린 보람이 있는 녀석 내 마음을 저격 성공 넘옙흐네여, 기다리다,"기다리다, 넘옙흐네, 녀석, 보람, 성공, 저격"
생각했던것보다 핏이 괜찮아서 좋았고 프린팅이 진짜 이뻐요,생각했던 것보다 핏이 괜찮아서 좋았고 프린팅이 진짜 이뻐요,,"프린팅, 핏"
두께 적당해서 비침 없을듯 핏도 마음에 드는게 왜인지는 모르겠는데 어깨가 넓어보임 여름에 흰티중엔 1순위로 손 갈듯 이쁩니당,두께 적당해서 비침 없을 듯 핏도 마음에 드는 게 왜인지는 모르겠는데 어깨가 넓어 보임 여름에 흰 띠 중엔 순위로 손 갈듯 이쁩니다,,"갈다, 넓다, 두께, 모르다, 보임, 비침, 어깨, 여름, 왜인, 지는, 핏"
앞에 프린팅이 너무 예쁘고 사이즈도 딱 잘 맞네요 최애 브랜드입니다,앞에 프린팅이 너무 예쁘고 사이즈도 딱 잘 맞네요 최애 브랜드입니다, 프린팅,"맞다, 브랜드, 사이즈, 앞, 최애, 프린팅"
너무 예뻐서 보자마자 바로 구매! 적당한 오버핏에 덩치도 좀 좋아보이네요 클론맘 안만났으면 좋겠더,너무 예뻐서 보자마자 바로 구매 적당한 온 버핏에 덩치도 좀 좋아 보이네요 클론 맘 안 만났으면 좋겠다, 클론,"만나다, 버핏, 보이다, 적당하다, 클론"
예쁘네용 메종미네드 티셔츠 이걸로 입문해서 여러개사는중 이번 여름 자주 입고다닐게용,예쁘네요 메종미네드 티셔츠 이걸로 입문해서 여러 개사는 중 이번 여름 자주 입고 다닐게요,,"걸, 메종, 미네, 여러, 여름, 입문, 티셔츠"
프린팅 자수같단말 있던데 자수같진않아요 ㅋㅋ 그냥 크고 예쁜 티셔츠! 맘에 듭니다,프린팅 자수 같단 말 있던데 자수 같진 않아요 그냥 크고 예쁜 티셔츠 맘에 듭니다,,"그냥, 자수, 크다, 티셔츠, 프린팅"
